idLobbyGame,idPlayer,idRoom,qtKill,qtAssist,qtDeath,qtHs,qtBombeDefuse,qtBombePlant,qtTk,qtTkAssist,qt1Kill,qt2Kill,qt3Kill,qt4Kill,qt5Kill,qtPlusKill,qtFirstKill,vlDamage,qtHits,qtShots,qtLastAlive,qtClutchWon,qtRoundsPlayed,descMapName,vlLevel,qtSurvived,qtTrade,qtFlashAssist,qtHitHeadshot,qtHitChest,qtHitStomach,qtHitLeftAtm,qtHitRightArm,qtHitLeftLeg,qtHitRightLeg,flWinner,dtCreatedAt,Op
644499,1757,113369,29,4,17,11,1,0,0.0,0.0,10,8,1,0,0,0,4,3246,71.0,437,0.0,0,29,de_mirage,12,12.0,1.0,1.0,13.0,31.0,14.0,0.0,10.0,1.0,2.0,1,2022-02-14 13:27:48,I
644507,1758,113378,13,3,19,5,0,2,0.0,3.0,6,2,1,0,0,0,1,1789,49.0,248,10.0,0,25,de_vertigo,0,5.0,0.0,0.0,6.0,23.0,10.0,5.0,2.0,2.0,1.0,0,2022-02-14 13:27:48,I
573195,1759,113393,19,2,23,5,0,0,0.0,0.0,7,6,0,0,0,0,3,2320,65.0,561,1.0,0,29,de_mirage,6,5.0,3.0,0.0,7.0,30.0,19.0,1.0,8.0,0.0,0.0,0,2022-02-14 13:27:48,I
644544,1760,113416,18,2,12,5,0,2,0.0,0.0,11,2,1,0,0,0,3,2283,68.0,379,0.0,0,24,de_dust2,15,12.0,3.0,0.0,6.0,35.0,18.0,3.0,3.0,1.0,2.0,1,2022-02-14 13:27:48,I
633576,1761,113417,13,5,23,8,0,2,0.0,1.0,6,2,1,0,0,0,3,2261,63.0,493,0.0,0,36,de_mirage,4,13.0,2.0,2.0,10.0,22.0,14.0,3.0,6.0,2.0,6.0,0,2022-02-14 13:27:48,I
644905,1762,113791,23,4,16,7,0,2,0.0,0.0,7,5,2,0,0,0,3,2957,82.0,586,0.0,0,25,de_inferno,17,9.0,3.0,0.0,8.0,44.0,10.0,3.0,11.0,2.0,4.0,1,2022-02-14 13:27:48,I
645020,1763,113909,20,6,19,6,0,2,0.0,0.0,8,4,0,1,0,0,4,2467,65.0,515,1.0,1,30,de_mirage,16,10.0,6.0,4.0,10.0,31.0,13.0,0.0,7.0,3.0,1.0,0,2022-02-14 13:27:48,I
637978,1764,113984,14,3,28,4,0,4,0.0,0.0,12,1,0,0,0,0,2,2091,75.0,449,0.0,0,35,de_overpass,7,7.0,4.0,0.0,4.0,39.0,19.0,1.0,5.0,3.0,4.0,0,2022-02-14 13:27:48,I
645095,1765,113986,9,7,16,4,0,3,0.0,0.0,6,1,0,0,0,0,3,1669,31.0,167,0.0,0,23,de_overpass,9,7.0,6.0,0.0,4.0,18.0,5.0,0.0,3.0,1.0,0.0,1,2022-02-14 13:27:48,I
645103,1766,113994,17,3,20,7,0,3,0.0,0.0,9,4,0,0,0,0,1,2043,65.0,593,0.0,0,32,de_inferno,9,11.0,5.0,0.0,9.0,24.0,19.0,4.0,7.0,1.0,1.0,0,2022-02-14 13:27:48,I
645139,1767,114032,20,5,16,7,1,2,0.0,0.0,7,5,1,0,0,0,1,2444,75.0,416,0.0,0,24,de_mirage,14,8.0,3.0,0.0,8.0,35.0,22.0,1.0,1.0,1.0,7.0,1,2022-02-14 13:27:48,I
645205,1768,114099,12,2,18,4,0,5,0.0,1.0,7,1,1,0,0,0,0,1750,53.0,337,0.0,0,24,de_nuke,11,6.0,3.0,0.0,4.0,17.0,18.0,1.0,6.0,3.0,4.0,0,2022-02-14 13:27:48,I
645413,1769,114313,11,4,17,3,1,1,0.0,0.0,8,0,1,0,0,0,0,1741,50.0,277,0.0,0,24,de_vertigo,13,6.0,3.0,0.0,5.0,28.0,9.0,2.0,4.0,2.0,0.0,0,2022-02-14 13:27:48,I
645576,1770,114480,12,1,20,3,0,0,0.0,1.0,9,0,1,0,0,0,2,1425,55.0,350,0.0,0,22,de_overpass,6,2.0,1.0,0.0,4.0,29.0,16.0,2.0,3.0,0.0,1.0,0,2022-02-14 13:27:48,I
645579,1771,114483,9,6,20,1,0,0,0.0,1.0,3,3,0,0,0,0,2,1585,49.0,256,0.0,0,22,de_mirage,1,2.0,3.0,0.0,2.0,14.0,17.0,3.0,2.0,5.0,6.0,0,2022-02-14 13:27:48,I
645675,1772,114583,14,1,21,7,0,1,0.0,0.0,8,3,0,0,0,0,0,1726,45.0,328,1.0,1,23,de_mirage,19,1.0,3.0,0.0,8.0,18.0,8.0,0.0,7.0,2.0,2.0,0,2022-02-14 13:27:48,I
645691,1773,114600,10,2,18,1,0,0,0.0,0.0,8,1,0,0,0,0,2,1230,28.0,193,0.0,0,22,de_inferno,17,4.0,2.0,0.0,1.0,14.0,6.0,0.0,2.0,1.0,4.0,0,2022-02-14 13:27:48,I
606982,1774,114741,29,6,24,12,1,2,0.0,0.0,8,6,3,0,0,0,5,3698,89.0,507,0.0,0,30,de_train,14,6.0,4.0,0.0,16.0,40.0,14.0,1.0,10.0,3.0,5.0,0,2022-02-14 13:27:48,I
645901,1775,114823,20,5,20,11,0,2,0.0,0.0,5,4,1,1,0,0,2,2824,53.0,349,0.0,0,30,de_dust2,15,9.0,3.0,0.0,15.0,20.0,10.0,0.0,3.0,3.0,2.0,1,2022-02-14 13:27:48,I
646000,1776,114925,10,3,18,2,0,1,0.0,0.0,7,0,1,0,0,0,2,1516,65.0,476,0.0,0,20,de_vertigo,7,1.0,2.0,0.0,4.0,25.0,16.0,1.0,8.0,7.0,4.0,0,2022-02-14 13:27:48,I
646126,1777,115056,19,7,20,3,0,3,0.0,0.0,9,3,1,0,0,0,3,2527,61.0,255,1.0,0,30,de_inferno,18,9.0,4.0,0.0,5.0,29.0,12.0,0.0,4.0,3.0,8.0,0,2022-02-14 13:27:48,I
646187,1778,115121,31,3,32,12,0,1,0.0,1.0,10,4,3,1,0,0,5,4243,102.0,513,0.0,0,36,de_ancient,12,5.0,4.0,0.0,14.0,40.0,34.0,2.0,7.0,4.0,1.0,1,2022-02-14 13:27:48,I
646249,1780,115191,27,4,13,14,1,1,0.0,1.0,9,3,1,1,1,0,8,3317,83.0,537,1.0,1,26,de_dust2,12,12.0,0.0,0.0,17.0,36.0,18.0,1.0,5.0,6.0,0.0,1,2022-02-14 13:27:48,I
646291,1781,115234,21,4,20,12,1,1,0.0,1.0,6,6,1,0,0,0,3,2959,73.0,627,0.0,0,25,de_dust2,9,5.0,3.0,1.0,13.0,36.0,14.0,1.0,4.0,3.0,2.0,0,2022-02-14 13:27:48,I
646479,1782,115432,19,3,19,9,0,3,0.0,4.0,8,4,1,0,0,0,1,2343,58.0,399,1.0,1,28,de_mirage,20,8.0,3.0,0.0,11.0,25.0,9.0,2.0,5.0,3.0,3.0,0,2022-02-14 13:27:48,I
646597,1783,115553,20,7,15,6,0,1,0.0,0.0,8,3,2,0,0,0,4,2410,69.0,501,0.0,0,25,de_dust2,10,9.0,5.0,0.0,7.0,31.0,14.0,2.0,5.0,6.0,4.0,1,2022-02-14 13:27:48,I
